YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2022-12,WEEKDAY,17,TRAIN,CC13,23162,40247
2022-12,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,12561,12925
2022-12,WEEKENDS/HOLIDAY,17,TRAIN,CC13,11758,14374
2022-12,WEEKDAY,17,TRAIN,NE12,24999,31538
2022-12,WEEKENDS/HOLIDAY,17,TRAIN,NE12,12561,12925
2022-12,WEEKDAY,8,TRAIN,DT11,25903,26688
2022-12,WEEKDAY,8,TRAIN,NS21/DT11,25903,26688
2022-12,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,5815,5375
2022-12,WEEKENDS/HOLIDAY,8,TRAIN,NS21,4848,7013
2022-12,WEEKENDS/HOLIDAY,8,TRAIN,DT11,5815,5375
2022-12,WEEKDAY,8,TRAIN,NS21,21774,32789
2022-12,WEEKDAY,0,TRAIN,STC,350,3059
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,STC,346,2539
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,346,2539
2022-12,WEEKDAY,0,TRAIN,NE16,350,3059
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,NE16,346,2539
2022-12,WEEKDAY,0,TRAIN,NE16/STC,350,3059
2022-12,WEEKDAY,23,TRAIN,CC23,1063,242
2022-12,WEEKENDS/HOLIDAY,23,TRAIN,CC23,303,169
2022-12,WEEKDAY,22,TRAIN,DT13,3575,3456
2022-12,WEEKENDS/HOLIDAY,22,TRAIN,DT13,1980,1786
2022-12,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1133,6751
2022-12,WEEKDAY,23,TRAIN,NE14,1770,12810
2022-12,WEEKENDS/HOLIDAY,22,TRAIN,TE2,1744,7332
2022-12,WEEKDAY,22,TRAIN,TE2,2918,13754
2022-12,WEEKENDS/HOLIDAY,22,TRAIN,NS9,8451,11084
2022-12,WEEKDAY,22,TRAIN,NS9/TE2,2918,13754
2022-12,WEEKDAY,22,TRAIN,NS9,15520,22912
2022-12,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,1744,7332
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,DT22,2592,3796
2022-12,WEEKDAY,12,TRAIN,DT22,4141,5668
2022-12,WEEKDAY,18,TRAIN,DT28,23030,13712
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,DT28,4106,3924
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,DT34,1374,739
2022-12,WEEKDAY,12,TRAIN,DT34,2620,1689
2022-12,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1247,406
2022-12,WEEKDAY,9,TRAIN,SW7,2693,840
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,17064,14320
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,PTC,17064,14320
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,NE17,17064,14320
2022-12,WEEKDAY,12,TRAIN,NE17/PTC,30055,27422
2022-12,WEEKDAY,12,TRAIN,PTC,30055,27422
2022-12,WEEKDAY,12,TRAIN,NE17,30055,27422
2022-12,WEEKDAY,19,TRAIN,NE8,22717,34096
2022-12,WEEKENDS/HOLIDAY,19,TRAIN,NE8,16671,16586
2022-12,WEEKENDS/HOLIDAY,21,TRAIN,CC24,1760,580
2022-12,WEEKDAY,21,TRAIN,CC24,7850,1226
2022-12,WEEKDAY,12,TRAIN,EW8,15696,22282
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,CC9,6531,6790
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,EW8,12074,15392
2022-12,WEEKDAY,12,TRAIN,CC9,10966,12747
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,12074,15392
2022-12,WEEKDAY,12,TRAIN,EW8/CC9,15696,22282
2022-12,WEEKDAY,20,TRAIN,BP5,1063,1460
2022-12,WEEKENDS/HOLIDAY,20,TRAIN,BP5,483,550
